#	LAMMPS	data	file	written	by	OVITO	Basic	3.6.0
1098	atoms							
6	atom	types						
0.0	22.0	xlo	xhi					
0.0	22.0	ylo	yhi					
0.0	22.0	zlo	zhi					
								
Masses								
								
1	1.0079	#	H					
2	15.9994	#	O					
3	26.9815	#	Al					
4	28.0855	#	Si					
5	39.0983	#	K					
6	40.0780	#	Ca					
								
Atoms	#	charge						
								
1	5	0	7.606	9.888	5.492			
2	2	0	8.922	7.922	5.320			
3	1	0	9.804	8.187	5.680			
4	5	0	17.687	20.321	1.322			
5	2	0	19.346	22.007	1.490			
6	1	0	20.201	21.519	1.393			
7	5	0	5.099	20.174	16.802			
8	2	0	4.759	19.729	14.497			
9	1	0	5.479	19.093	14.262			
10	5	0	10.985	4.124	3.971			
11	2	0	10.089	6.078	4.974			
12	1	0	10.519	6.115	5.863			
13	5	0	20.805	5.122	6.407			
14	2	0	19.456	3.180	6.232			
15	1	0	19.743	2.759	5.384			
16	5	0	2.247	4.495	5.452			
17	2	0	4.338	4.886	6.500			
18	1	0	4.314	4.321	7.311			
19	5	0	0.248	18.149	14.910			
20	2	0	1.571	16.200	15.179			
21	1	0	1.001	15.468	14.835			
22	5	0	10.434	10.641	2.984			
23	2	0	10.543	12.944	3.539			
24	1	0	10.278	12.979	4.491			
25	5	0	9.300	6.437	10.023			
26	2	0	9.256	8.748	10.550			
27	1	0	8.698	9.150	9.840			
28	5	0	11.156	1.022	6.966			
29	2	0	9.222	1.254	8.319			
30	1	0	8.834	2.121	8.044			
31	5	0	16.530	7.886	15.271			
32	2	0	14.421	6.807	15.360			
33	1	0	14.514	6.036	14.746			
34	5	0	11.851	8.935	21.460			
35	2	0	13.858	8.658	20.227			
36	1	0	14.327	9.523	20.328			
37	5	0	0.192	10.734	16.017			
38	2	0	2.441	11.351	16.444			
39	1	0	2.932	10.493	16.459			
40	5	0	0.191	20.398	14.459			
41	2	0	1.923	21.986	14.141			
42	1	0	2.458	21.934	14.971			
43	5	0	17.835	4.910	2.585			
44	2	0	16.217	4.368	4.232			
45	1	0	16.068	3.397	4.119			
46	5	0	21.681	15.980	14.597			
47	2	0	20.484	13.989	15.071			
48	1	0	19.535	14.268	15.065			
49	5	0	6.910	8.659	3.805			
50	2	0	7.384	6.498	4.658			
51	1	0	7.631	5.969	3.859			
52	5	0	11.498	10.222	14.853			
53	2	0	11.560	10.165	12.483			
54	1	0	10.613	10.257	12.211			
55	5	0	18.814	10.340	8.775			
56	2	0	16.497	10.774	8.526			
57	1	0	16.062	9.912	8.741			
58	5	0	15.353	15.337	9.181			
59	2	0	13.320	16.557	9.161			
